Catégorie,Source,Détails,Site,Accès,Accès_old,Couverture,intégré
Tissu économique,INSEE,"Entreprises employeuses du secteur concurrentiel, affiliées au
régime général (donc hors régime agricole)",https://www.data.gouv.fr/fr/datasets/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret/,Accès Libre,libre,Paris Seine Normandie,oui
Tissu économique,INSEE,Taux de créations d’entreprises (par secteur d’activité),https://www.insee.fr/fr/statistiques/3357451?sommaire=3357459#consulter,Accès Libre,libre,Paris Seine Normandie,oui
Tourisme,IAU IDF,Base de données IAU IDF,http://data.iau-idf.fr/,Accès Libre,libre,Île-de-France,non
Tourisme,Datatourisme,"Evenements, lieux, produits",https://www.data.gouv.fr/fr/datasets/donnees-touristiques-de-la-base-datatourisme/,Accès Libre,libre,Paris Seine Normandie,non
Tourisme,INSEE,Fréquentation des hébergements collectifs touristiques en 2017,https://www.insee.fr/fr/statistiques/2012672#tableau-TCRD_020_tab1_departements,Accès Libre,libre,Paris Seine Normandie,oui
Tourisme,INSEE,Etablissements d'hébergements touristiques en 2018 ,https://www.insee.fr/fr/statistiques/2012688,Accès Libre,libre,Paris Seine Normandie,oui
Tourisme,OpenStreetMap,Parcs naturels nationaux et régionaux,openstreetmap.org,Accès Libre,libre,Paris Seine Normandie,oui
Tourisme,eurogeographics,Points d’intérêts naturels,https://eurogeographics.org/products-and-services/open-data/opendata-downloads/,Accès Libre,libre,Paris Seine Normandie,oui
Tourisme,IAU-IDF,Patrimoine fluvial remarquable,http://data.iau-idf.fr/datasets/e646de156cf84c298416a430e3f6f288_3,Accès Libre,libre,Île-de-France,oui
Tourisme,IAU-IDF,Patrimoine mondial de l’UNESCO,http://data.iau-idf.fr/datasets/8affb5badbab4b0dbb129aec441396b4_6,Accès Libre,libre,Île-de-France,oui
Tourisme,IAU-IDF,Ville et pays d’art et d’histoire,http://data.iau-idf.fr/datasets/1842c881e553404981c46501ef2cb3a2_7,Accès Libre,libre,Île-de-France,oui
Tourisme,IAU-IDF,Châteaux et leur parc,http://data.iau-idf.fr/datasets/14347f5e8654490bbbd446a8f8ed0bf4₂,Accès Libre,libre,Île-de-France,oui
Tourisme,Les plus beaux villages de France,Les plus beaux villages de France,http://www.les-plus-beaux-villages-de-france.org/en/the-most-beautiful-villages-of-france?filter0=&filter1=140,Accès Libre,libre,Paris Seine Normandie,oui
Tourisme,Atout France,Hôtels classés,https://www.data.gouv.fr/fr/datasets/la-carte-des-hotels-classes-en-ile-de-france-idf/,Accès Libre,libre,Île-de-France,oui
Tourisme,Atout France,Campings classés,https://www.data.gouv.fr/fr/datasets/la-carte-des-hotels-classes-en-ile-de-france-idf/,Accès Libre,libre,Île-de-France,oui
Transport,IAU IDF,Base de données IAU IDF,http://data.iau-idf.fr/,Accès Libre,libre,Île-de-France,non
Transport,IGN,Rails,http://professionnels.ign.fr/route500 ,Accès Libre,libre,Paris Seine Normandie,oui
Transport,IGN,Gares,http://professionnels.ign.fr/route500 ,Accès Libre,libre,Paris Seine Normandie,oui
Transport,IGN,Routes,http://professionnels.ign.fr/route500 ,Accès Libre,libre,Paris Seine Normandie,oui
Transport,IGN,Aérodromes,http://professionnels.ign.fr/route500 ,Accès Libre,libre,Paris Seine Normandie,oui
Transport,eurogeographics,Ports de ferries,https://eurogeographics.org/products-and-services/open-data/opendata-downloads/ ,Accès Libre,libre,Paris Seine Normandie,oui
Transport,eurogeographics,Lignes de ferries,https://eurogeographics.org/products-and-services/open-data/opendata-downloads/ ,Accès Libre,libre,Paris Seine Normandie,oui
Transport,OpenFlights,Routes aériennes,https://openflights.org/,Accès Libre,libre,Paris Seine Normandie,oui
