id,code_insee2,commune_arrivee,code_insee1,commune_depart,migration,X1,Y1,X2,Y2,année,population_2014_1,population_2014_2,categorie_1,categorie_2,is_PSN_1,is_PSN_2
154,73065,Chambéry,73029,Barberaz,162,6,46,6.0,46.0,2014.0,4617,59490,village et bourg,grande ville,0,0
155,73065,Chambéry,73051,Le Bourget-du-Lac,101,6,46,6.0,46.0,2014.0,4486,59490,village et bourg,grande ville,0,0
156,73065,Chambéry,73087,Cognin,113,6,46,6.0,46.0,2014.0,6027,59490,petite ville,grande ville,0,0
157,73065,Chambéry,73179,La Motte-Servolex,166,6,46,6.0,46.0,2014.0,11726,59490,petite ville,grande ville,0,0
158,73065,Chambéry,73213,La Ravoire,108,6,46,6.0,46.0,2014.0,8032,59490,petite ville,grande ville,0,0
159,74010,Annecy,38185,Grenoble,139,6,45,6.0,46.0,2014.0,160779,53285,grande ville,grande ville,0,0
160,74010,Annecy,74225,Rumilly,112,6,46,6.0,46.0,2014.0,14836,53285,petite ville,grande ville,0,0
161,74010,Annecy,74011,Annecy-le-Vieux,278,6,46,6.0,46.0,2014.0,20469,53285,moyenne ville,grande ville,0,0
162,74010,Annecy,74093,Cran-Gevrier,308,6,46,6.0,46.0,2014.0,17257,53285,petite ville,grande ville,0,0
163,74010,Annecy,74268,Seynod,237,6,46,6.0,46.0,2014.0,20955,53285,moyenne ville,grande ville,0,0
164,74005,Allinges,74281,Thonon-les-Bains,115,6,46,6.0,46.0,2014.0,34973,4295,moyenne ville,village et bourg,0,0
165,74105,Douvaine,74281,Thonon-les-Bains,112,6,46,6.0,46.0,2014.0,34973,5509,moyenne ville,petite ville,0,0
166,74166,Marin,74281,Thonon-les-Bains,122,6,46,7.0,46.0,2014.0,34973,1700,moyenne ville,village et bourg,0,0
167,74218,Publier,74281,Thonon-les-Bains,158,6,46,7.0,46.0,2014.0,34973,6753,moyenne ville,petite ville,0,0
168,13015,Bouc-Bel-Air,13001,Aix-en-Provence,196,5,44,5.0,43.0,2014.0,142149,14097,grande ville,petite ville,0,0
169,13019,Cabriès,13001,Aix-en-Provence,110,5,44,5.0,43.0,2014.0,142149,9492,grande ville,petite ville,0,0
170,13032,Éguilles,13001,Aix-en-Provence,164,5,44,5.0,44.0,2014.0,142149,7579,grande ville,petite ville,0,0
171,13037,La Fare-les-Oliviers,13001,Aix-en-Provence,129,5,44,5.0,44.0,2014.0,142149,8039,grande ville,petite ville,0,0
172,13041,Gardanne,13001,Aix-en-Provence,172,5,44,5.0,43.0,2014.0,142149,19910,grande ville,petite ville,0,0
173,13050,Lambesc,13001,Aix-en-Provence,127,5,44,5.0,44.0,2014.0,142149,9459,grande ville,petite ville,0,0
174,13060,Meyreuil,13001,Aix-en-Provence,110,5,44,6.0,43.0,2014.0,142149,5371,grande ville,petite ville,0,0
175,13080,Le Puy-Sainte-Réparade,13001,Aix-en-Provence,110,5,44,5.0,44.0,2014.0,142149,5476,grande ville,petite ville,0,0
176,13113,Venelles,13001,Aix-en-Provence,160,5,44,5.0,44.0,2014.0,142149,8349,grande ville,petite ville,0,0
177,13114,Ventabren,13001,Aix-en-Provence,101,5,44,5.0,44.0,2014.0,142149,5067,grande ville,petite ville,0,0
178,13117,Vitrolles,13001,Aix-en-Provence,123,5,44,5.0,43.0,2014.0,142149,34236,grande ville,moyenne ville,0,0
179,13117,Vitrolles,13054,Marignane,139,5,43,5.0,43.0,2014.0,34154,34236,moyenne ville,moyenne ville,0,0
180,13117,Vitrolles,13081,Rognac,106,5,43,5.0,43.0,2014.0,11830,34236,petite ville,moyenne ville,0,0
181,33063,Bordeaux,13001,Aix-en-Provence,102,5,44,-1.0,45.0,2014.0,142149,246586,grande ville,metropole,0,0
182,33063,Bordeaux,31555,Toulouse,580,1,44,-1.0,45.0,2014.0,466297,246586,metropole,metropole,0,0
183,33063,Bordeaux,34172,Montpellier,156,4,44,-1.0,45.0,2014.0,275318,246586,metropole,metropole,0,0
184,33063,Bordeaux,59350,Lille,153,3,51,-1.0,45.0,2014.0,233897,246586,metropole,metropole,0,0
185,33063,Bordeaux,75115,Paris 15e  Arrondissement,159,2,49,-1.0,45.0,2014.0,235366,246586,capitale,metropole,1,0
186,33063,Bordeaux,35238,Rennes,129,-2,48,-1.0,45.0,2014.0,213454,246586,metropole,metropole,0,0
187,33063,Bordeaux,76540,Rouen,106,1,49,-1.0,45.0,2014.0,110618,246586,grande ville,metropole,1,0
188,33063,Bordeaux,86194,Poitiers,211,0,47,-1.0,45.0,2014.0,87435,246586,grande ville,metropole,0,0
189,33063,Bordeaux,16015,Angoulême,188,0,46,-1.0,45.0,2014.0,41955,246586,moyenne ville,metropole,0,0
190,33063,Bordeaux,17300,La Rochelle,192,-1,46,-1.0,45.0,2014.0,74998,246586,grande ville,metropole,0,0
191,33063,Bordeaux,44109,Nantes,335,-2,47,-1.0,45.0,2014.0,298029,246586,metropole,metropole,0,0
192,33063,Bordeaux,87085,Limoges,175,1,46,-1.0,45.0,2014.0,134577,246586,grande ville,metropole,0,0
193,33063,Bordeaux,21231,Dijon,100,5,47,-1.0,45.0,2014.0,153668,246586,grande ville,metropole,0,0
194,33063,Bordeaux,67482,Strasbourg,107,8,49,-1.0,45.0,2014.0,276170,246586,metropole,metropole,0,0
195,33063,Bordeaux,24322,Périgueux,157,1,45,-1.0,45.0,2014.0,30069,246586,moyenne ville,metropole,0,0
196,33063,Bordeaux,37261,Tours,132,1,47,-1.0,45.0,2014.0,136125,246586,grande ville,metropole,0,0
197,33063,Bordeaux,47001,Agen,162,1,44,-1.0,45.0,2014.0,34126,246586,moyenne ville,metropole,0,0
198,33063,Bordeaux,49007,Angers,103,-1,47,-1.0,45.0,2014.0,151056,246586,grande ville,metropole,0,0
199,33063,Bordeaux,64445,Pau,281,0,43,-1.0,45.0,2014.0,77489,246586,grande ville,metropole,0,0
200,33063,Bordeaux,75112,Paris 12e  Arrondissement,164,2,49,-1.0,45.0,2014.0,143922,246586,capitale,metropole,1,0
201,33063,Bordeaux,75116,Paris 16e  Arrondissement,133,2,49,-1.0,45.0,2014.0,165745,246586,capitale,metropole,1,0
202,33063,Bordeaux,75117,Paris 17e  Arrondissement,138,2,49,-1.0,45.0,2014.0,170186,246586,capitale,metropole,1,0
203,33063,Bordeaux,75118,Paris 18e  Arrondissement,156,2,49,-1.0,45.0,2014.0,199135,246586,capitale,metropole,1,0
204,33063,Bordeaux,75119,Paris 19e  Arrondissement,156,2,49,-1.0,45.0,2014.0,187156,246586,capitale,metropole,1,0
205,33063,Bordeaux,33119,Cenon,261,-1,45,-1.0,45.0,2014.0,24039,246586,moyenne ville,metropole,0,0
206,33063,Bordeaux,33522,Talence,967,-1,45,-1.0,45.0,2014.0,41182,246586,moyenne ville,metropole,0,0
207,33063,Bordeaux,33550,Villenave-d'Ornon,120,-1,45,-1.0,45.0,2014.0,31027,246586,moyenne ville,metropole,0,0
208,33063,Bordeaux,33003,Ambarès-et-Lagrave,394,-1,45,-1.0,45.0,2014.0,15315,246586,petite ville,metropole,0,0
209,33063,Bordeaux,33009,Arcachon,114,-1,45,-1.0,45.0,2014.0,10370,246586,petite ville,metropole,0,0
210,33063,Bordeaux,33039,Bègles,332,-1,45,-1.0,45.0,2014.0,26437,246586,moyenne ville,metropole,0,0
211,33063,Bordeaux,33069,Le Bouscat,569,-1,45,-1.0,45.0,2014.0,23439,246586,moyenne ville,metropole,0,0
212,33063,Bordeaux,33075,Bruges,169,-1,45,-1.0,45.0,2014.0,17567,246586,petite ville,metropole,0,0
213,33063,Bordeaux,33162,Eysines,247,-1,45,-1.0,45.0,2014.0,21813,246586,moyenne ville,metropole,0,0
214,33063,Bordeaux,33167,Floirac,142,-1,45,-1.0,45.0,2014.0,16756,246586,petite ville,metropole,0,0
215,33063,Bordeaux,33192,Gradignan,206,-1,45,-1.0,45.0,2014.0,24841,246586,moyenne ville,metropole,0,0
216,33063,Bordeaux,33243,Libourne,209,0,45,-1.0,45.0,2014.0,24595,246586,moyenne ville,metropole,0,0
217,33063,Bordeaux,33249,Lormont,120,-1,45,-1.0,45.0,2014.0,21128,246586,moyenne ville,metropole,0,0
218,33063,Bordeaux,33281,Mérignac,1002,-1,45,-1.0,45.0,2014.0,69301,246586,grande ville,metropole,0,0
219,33063,Bordeaux,33318,Pessac,740,-1,45,-1.0,45.0,2014.0,61514,246586,grande ville,metropole,0,0
220,33063,Bordeaux,33449,Saint-Médard-en-Jalles,180,-1,45,-1.0,45.0,2014.0,29779,246586,moyenne ville,metropole,0,0
221,33063,Bordeaux,40192,Mont-de-Marsan,127,0,44,-1.0,45.0,2014.0,31009,246586,moyenne ville,metropole,0,0
222,33063,Bordeaux,45234,Orléans,113,2,48,-1.0,45.0,2014.0,114977,246586,grande ville,metropole,0,0
223,33063,Bordeaux,64102,Bayonne,208,-1,43,-1.0,45.0,2014.0,48178,246586,moyenne ville,metropole,0,0
224,33063,Bordeaux,75110,Paris 10e  Arrondissement,112,2,49,-1.0,45.0,2014.0,92228,246586,capitale,metropole,1,0
